pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 129445 b,HD 129445,1,1,Radial Velocity,2009,Las Campanas Observatory,0,1840,55,-55,0,2.9,0.2,-0.2,0,13.5,,,0,1.21,,,0,508.507,190.69,-190.69,0,1.6,0.6,-0.6,0,Msini,0.7,0.1,-0.1,0,,,,,,,,,0,G6 V,5605,20.67,-34,0,1.18,0.01,-0.01,0,0.99,,,0,0.25,,,0,[Fe/H],4.31,0.08,-0.07,0,14h46m02.50s,221.5104196,-68d45m46.76s,-68.7629901,67.4386,0.1609,-0.1601,8.8,0.03,-0.03,7.167,0.026,-0.026,8.6178,0.000189,-0.000189
HD 130322 b,HD 130322,1,1,Radial Velocity,1999,La Silla Observatory,0,10.70871,0.00018,-0.00018,0,0.0925,,,0,13.7,,,0,1.22,,,0,365.49,,,0,1.15,,,0,Msini,0.029,0.016,-0.016,0,,,,,720,,,0,0,K0 V,5387,44,-44,0,0.85,0.04,-0.04,0,0.92,0.03,-0.03,0,-0.02,0.03,-0.03,0,[Fe/H],4.52,0.06,-0.06,0,14h47m32.59s,221.8857975,-00d16m55.48s,-0.2820782,31.8766,0.0729,-0.0727,8.04,0.03,-0.03,6.234,0.023,-0.023,7.83448,0.000623,-0.000623
HD 131496 b,HD 131496,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,896,16,-16,0,2.01,0.12,-0.12,0,13.4,,,0,1.2,,,0,572.094,31.783,-31.783,0,1.8,0.1,-0.1,0,Msini,0.181,0.06,-0.06,0,,,,,,,,,0,K0,4846,,,0,4.44,,,0,1.34,,,0,0.25,0.03,-0.03,0,[Fe/H],3.18,,,0,14h53m23.08s,223.3461495,+18d14m06.94s,18.2352618,131.849,1.153,-1.153,7.8,0.03,-0.03,5.437,0.018,-0.018,7.52124,0.000425,-0.000425
HD 131664 b,HD 131664,1,1,Radial Velocity,2008,La Silla Observatory,0,1951,41,-41,0,3.17,0.07,-0.07,0,12.1,,,0,1.08,,,0,6076.9096,540.311,-540.311,0,19.12,1.7,-1.7,0,Msini,0.64,0,0,0,,,,,,,,,0,G3 V,5892,40,-40,0,1.08,0.02,-0.02,0,1.19,0.11,-0.11,0,0.3,,,0,[Fe/H],4.45,0.04,-0.04,0,15h00m06.11s,225.0254554,-73d32m06.84s,-73.5352345,52.8128,0.0983,-0.098,8.13,0.03,-0.03,6.647,0.02,-0.02,7.96631,0.000255,-0.000255
HD 13167 b,HD 13167,1,1,Radial Velocity,2018,W. M. Keck Observatory,0,2613,17,-17,0,4.1,0.34,-0.34,0,13.1,,,0,1.17,,,0,1052.0173,50.8528,-50.8528,0,3.31,0.16,-0.16,0,Msini,0.563,0.033,-0.033,0,,,,,,,,,0,G3 V,5671,,,0,2.39,,,0,1.35,,,0,0.19,0.1,-0.1,0,[M/H],3.72,,,0,02h08m13.83s,32.057635,-24d41m44.07s,-24.695575,148.934,1.092,-1.076,8.34,0.03,-0.03,6.711,0.02,-0.02,8.15997,0.000291,-0.000291
HD 13189 b,HD 13189,1,1,Radial Velocity,2005,Thueringer Landessternwarte Tautenburg,0,471.60001,6,-6,0,1.25,0.08,-0.08,0,12.4,,,0,1.11,,,0,3480.2385,928.0636,-928.0636,0,10.95,2.92,-2.92,0,Msini,0.27,0.06,-0.06,0,,,,,,,,,0,K2,4175,33,-33,0,38.41,4.84,-4.84,0,2.24,0.88,-0.88,0,-0.37,,,0,[Fe/H],1.62,0.13,-0.13,0,02h09m40.18s,32.4173964,+32d18m59.24s,32.3164548,497.823,15.517,-15.517,7.57,0.03,-0.03,3.997,0.026,-0.026,7.01743,0.000492,-0.000492
HD 132406 b,HD 132406,1,1,Radial Velocity,2007,Haute-Provence Observatory,0,974,39,-39,0,1.98,0.06,-0.06,0,12.8,,,0,1.14,,,0,1709.9254,416.3573,-416.3573,0,5.38,1.31,-1.31,0,Msini,0.34,0.09,-0.09,0,,,,,,,,,0,G0,5783,38,-38,0,1.34,0.04,-0.04,0,1.03,0.15,-0.15,0,0.14,,,0,[Fe/H],4.2,0.06,-0.06,0,14h56m54.63s,224.2276121,+53d22m51.46s,53.3809615,70.7832,0.1387,-0.1381,8.45,0.03,-0.03,6.87,0.017,-0.017,8.28075,0.000227,-0.000227
HD 132563 b,HD 132563,3,1,Radial Velocity,2011,Roque de los Muchachos Observatory,0,1544,34,-34,0,2.62,0.04,-0.04,0,13.6,,,0,1.21,,,0,473.547,28.6035,-28.6035,0,1.49,0.09,-0.09,0,Msini,0.22,0.09,-0.09,0,,,,,,,,,0,F8,6289,128.13,-128.13,0,1.3,0.07,-0.04,0,1.23,0.22,-0.15,0,-0.06,0.04,-0.04,0,[Fe/H],4.3,0.08,-0.09,0,14h58m21.43s,224.5892892,+44d02m34.29s,44.0428571,105.155,0.282,-0.282,8.928001,0.002,-0.002,7.431,0.021,-0.021,8.85821,0.000252,-0.000252
HD 133131 A b,HD 133131 A,2,3,Radial Velocity,2016,Las Campanas Observatory,0,649,3,-3,0,1.44,0.005,-0.005,0,13.6,,,0,1.21,,,0,451.3186,12.7132,-12.7132,0,1.42,0.04,-0.04,0,Msini,0.33,0.03,-0.03,0,,,,,,,,,0,G2 V,5799,19,-19,0,0.96,0.04,-0.05,0,0.95,,,0,-0.306,0.016,-0.016,0,[Fe/H],4.39,0.05,-0.05,0,15h03m35.63s,225.8984524,-27d50m35.29s,-27.8431369,51.4736,0.1491,-0.1483,7.66,0.03,-0.03,6.895,0.02,-0.02,8.27532,0.000345,-0.000345
HD 133131 A c,HD 133131 A,2,3,Radial Velocity,2016,Las Campanas Observatory,0,3568,1084,-1084,0,4.49,0.92,-0.92,0,14.3,,,0,1.28,,,0,133.4886,47.6745,-47.6745,0,0.42,0.15,-0.15,0,Msini,0.49,0.22,-0.22,0,,,,,,,,,0,G2 V,5799,19,-19,0,0.96,0.04,-0.05,0,0.95,,,0,-0.306,0.016,-0.016,0,[Fe/H],4.39,0.05,-0.05,0,15h03m35.63s,225.8984524,-27d50m35.29s,-27.8431369,51.4736,0.1491,-0.1483,7.66,0.03,-0.03,6.895,0.02,-0.02,8.27532,0.000345,-0.000345
